iterations,training scores,test scores
1,0.8924727272727273,0.8865
2,0.9202363636363636,0.913
3,0.9301272727272727,0.9234
4,0.9341818181818182,0.9293
5,0.9350909090909091,0.9299
6,0.9431090909090909,0.9397
7,0.9457818181818182,0.9418
8,0.9428727272727273,0.9392
9,0.9476,0.944
10,0.9502727272727273,0.946
11,0.9501818181818181,0.9466
12,0.9513090909090909,0.9476
13,0.9499272727272727,0.9469
14,0.9523636363636364,0.9484
15,0.9490181818181819,0.9461
16,0.9518,0.9488
17,0.9506181818181818,0.947
18,0.9456727272727272,0.9436
19,0.9529818181818182,0.9494
20,0.9539090909090909,0.9499
