iterations,training scores,test scores
1,0.9472181818181818,0.9431
2,0.9650909090909091,0.9601
3,0.9394363636363636,0.9357
4,0.9495818181818182,0.9471
5,0.9625090909090909,0.9558
6,0.952490909090909,0.948
7,0.9604727272727273,0.9524
8,0.9646363636363636,0.9578
9,0.8680545454545454,0.8646
10,0.9488,0.9399
11,0.9652909090909091,0.9568
12,0.9487818181818182,0.9433
13,0.9632,0.9553
14,0.9548181818181818,0.9478
15,0.9631636363636363,0.954
16,0.9618363636363636,0.9552
17,0.9655090909090909,0.9566
18,0.9653636363636363,0.9565
19,0.966690909090909,0.9579
20,0.9568727272727273,0.9489
