iterations,training scores,test scores
1,0.9652,0.9617
2,0.9670181818181818,0.9619
3,0.9673272727272727,0.9609
4,0.9675636363636364,0.9609
5,0.9684,0.9611
6,0.9677818181818182,0.9608
7,0.9678727272727272,0.9612
8,0.9681454545454545,0.9611
9,0.9679636363636364,0.9611
10,0.9679818181818182,0.9613
11,0.9679636363636364,0.9601
12,0.9678545454545454,0.9603
13,0.9680181818181818,0.9615
14,0.9684909090909091,0.9612
15,0.9685454545454546,0.9611
16,0.9682181818181819,0.9605
17,0.9684181818181818,0.9604
18,0.9683272727272727,0.9615
19,0.9680363636363636,0.962
20,0.9685454545454546,0.9616
